id,title,budget,revenue,popularity,vote_average,vote_count,release_date,genre
19995,Avatar,237000000,2787965087,150.437577,7.2,11800,2009-12-10,Action
19995,Avatar,237000000,2787965087,150.437577,7.2,11800,2009-12-10,Adventure
19995,Avatar,237000000,2787965087,150.437577,7.2,11800,2009-12-10,Fantasy
19995,Avatar,237000000,2787965087,150.437577,7.2,11800,2009-12-10,Science Fiction
285,Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,6.9,4500,2007-05-19,Adventure
285,Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,6.9,4500,2007-05-19,Fantasy
285,Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,6.9,4500,2007-05-19,Action
206647,Spectre,245000000,880674609,107.376788,6.3,4466,2015-10-26,Action
206647,Spectre,245000000,880674609,107.376788,6.3,4466,2015-10-26,Adventure
206647,Spectre,245000000,880674609,107.376788,6.3,4466,2015-10-26,Crime
49026,The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,2012-07-16,Action
49026,The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,2012-07-16,Crime
49026,The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,2012-07-16,Drama
49026,The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,2012-07-16,Thriller
49529,John Carter,260000000,284139100,43.926995,6.1,2124,2012-03-07,Action
49529,John Carter,260000000,284139100,43.926995,6.1,2124,2012-03-07,Adventure
49529,John Carter,260000000,284139100,43.926995,6.1,2124,2012-03-07,Science Fiction
559,Spider-Man 3,258000000,890871626,115.699814,5.9,3576,2007-05-01,Fantasy
559,Spider-Man 3,258000000,890871626,115.699814,5.9,3576,2007-05-01,Action
559,Spider-Man 3,258000000,890871626,115.699814,5.9,3576,2007-05-01,Adventure
38757,Tangled,260000000,591794936,48.681969,7.4,3330,2010-11-24,Animation
38757,Tangled,260000000,591794936,48.681969,7.4,3330,2010-11-24,Family
99861,Avengers: Age of Ultron,280000000,1405403694,134.279229,7.3,6767,2015-04-22,Action
99861,Avengers: Age of Ultron,280000000,1405403694,134.279229,7.3,6767,2015-04-22,Adventure
99861,Avengers: Age of Ultron,280000000,1405403694,134.279229,7.3,6767,2015-04-22,Science Fiction
767,Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7.4,5293,2009-07-07,Adventure
767,Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7.4,5293,2009-07-07,Fantasy
767,Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7.4,5293,2009-07-07,Family
209112,Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,5.7,7004,2016-03-23,Action
209112,Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,5.7,7004,2016-03-23,Adventure
209112,Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,5.7,7004,2016-03-23,Fantasy
1452,Superman Returns,270000000,391081192,57.925623,5.4,1400,2006-06-28,Adventure
